Name,Core Status,Database Status,Tags,NPC Role,Met by Party,Race,Class,Subclass,Level,Locations Database,Public Description,Personality Traits,Appearance,Art,Known History,Relationships,[DM] Plot Connections,[DM] Secrets,[DM] True Motivations,Last_Updated,Priority,[DM] Notes
Malvek Brim,Active,Alive,Economic,"Merchant, Neutral",,Halfling,,,13,Dullard’s Street - Financier's Palace (https://www.notion.so/Dullard-s-Street-Financier-s-Palace-247eccac1500812091e0f336c08304ba?pvs=21),,Jovial facade hiding ruthless calculation. Sees everything in terms of profit and loss. More dangerous than he appears.,"Rotund, always smiling tycoon. Wears expensive robes with hidden armor. Multiple rings on each finger. Carries ledgers like weapons.",Malvek_Brim.png,,,His merchant networks might know about Chrome Bishop trade. Economic power could rival magical might.,"Has secret alliance with Overwrit holder Lycara for tax immunity. Funding deforestation outside city. Power comes from contracts, not spells.",,"September 11, 2025 11:03 PM",3 - Moderate,
Inquisitor Cindrel Veyne,Active,Alive,Religious,Neutral,,Half-Orc,Paladin,,13,,,"Stern, uncompromising, zealous. Sees the world in black and white. Values order and divine law above all else.",Stern woman in blackstone armor with burning censers attached. Radiates divine authority. Always accompanied by witchhunters.,Cindrel.png,,,Her crusade against necromancy could disrupt the city's balance. Interest in divine law might make her sympathetic to Chrome Bishop's order.,Secretly fears magic she doesn't understand. Has begun arresting smugglers from Feralspire. May be planning a coup against necromantic burgs.,,"September 11, 2025 10:48 PM",3 - Moderate,
Sythra Amelindor,Active,Alive,Environmental,Neutral,,Elf,Druid,,13,,,"Serene, ancient, protective. Speaks in metaphors. Values growth and natural cycles. Can be ruthless when nature is threatened.",Serene elven woman with bark-like skin patches. Hair interwoven with living vines. Dress made of leaves that change with seasons.,Sythra_Amelindor.png,,,Her fae connections might know about the party's anomalous nature. Could provide nature-based alternatives to technology.,Her groves literally touch the Feywild. Provides dream-bloom hallucinogens to Xevrin. May be more fae than elf at this point.,,"September 11, 2025 10:39 PM",3 - Moderate,
Varzai the Soulforger,Active,Alive,"Magical, Secret",Neutral,Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21),Human,Wizard,,13,,,"Brilliant, amoral, artistic. Views bodies as raw materials. Fascinated by the boundary between life and death.",Pale man with surgical modifications. Wears robes of stitched flesh patterns. Eyes glow with necromantic energy. Surrounded by homunculi assistants.,Varzai_the_Soulforger.png,,,Her work parallels Chrome Bishop's mechanical immortality. May see party as test subjects or allies depending on their stance.,Crafting a perfect vessel to transfer her consciousness and claim immortality. Has been abducting Ashgarde inquisitors for experiments.,,"September 11, 2025 7:28 PM",3 - Moderate,
Jeffrey Trimbley,Active,Alive,Social,Neutral,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Human,Wizard,,10,Veilshard - The City of Writ and Wand (https://www.notion.so/Veilshard-The-City-of-Writ-and-Wand-247eccac15008151a6dcf53c37dd0a0d?pvs=21),,"Curious, opportunistic, friendly but with ulterior motives. Fascinated by the intersection of magic and technology.",Typical traveling mage with robes and various magical implements. Carries a recoiler device.,Jeffery_Trimbly.png,,,Key link between technological and magical worlds. Recruited by Pathik to help rob Basilica Relay Outpost.,Instructed by Galik to look for anyone with inside knowledge of the Mechanist Order. The recoiler he carries is worth a fortune.,,"September 12, 2025 12:12 AM",3 - Moderate,"Pathik has successfully convinced him to help "
Galik Emberfuse,Active,Alive,Technological,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Dwarf,Artificer,,13,Veilshard - The City of Writ and Wand (https://www.notion.so/Veilshard-The-City-of-Writ-and-Wand-247eccac15008151a6dcf53c37dd0a0d?pvs=21),,"Ambitious, calculating, charming when needed. Values innovation above all. Treats people as either useful or obstacles.",Dwarf with an air of being an artificer. Wears fine robes mixed with forge-master attire. Radiates power and wealth.,Galrik_Emberfuse.png,,,His worship of both Glimli (craft) and Valtheris (dark innovation) makes him morally flexible. Could become ally or enemy based on party choices.,Desperately wants Chrome Bishop technology to enhance his construct army. May try to steal or reverse-engineer the recoiler. Sees the Bishop as both threat and opportunity.,,"September 11, 2025 7:24 PM",3 - Moderate,
Elira Pollywogs,Active,Alive,"Combat, Technological",Executor,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,Fighter,,10,Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21),,"Shy, bitter, diligent and unquestioning. Shifty personality. Questions outsiders about how they found Iron-Basilica.",Covers half their face with a mask. Bionic legs and precision nanon fingers.,Elira.jpg,One of two executors in Iron-Basilica. Focuses on scouting and reconnaissance.,,Could be turned if shown evidence of Chrome Bishop's true nature. Their interest in outside world is a weakness.,Secretly fascinated by the outside world despite outward dedication to the Order.,,"August 26, 2025 7:55 PM",1 - Trivial,
Kephras,Active,Alive,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,Artificer,,9,Basilica Relay Outpost (https://www.notion.so/Basilica-Relay-Outpost-247eccac1500817fb0e6d28b704edd46?pvs=21),,Intelligent tinker. Initially claims innocence before relenting. Desperate to survive and continue research.,"Mechanist augmentations, appearance worn from isolation at outpost.",Kephras.jpg,Sent to audit Relay Tower 9. Defected after Unit-7 developed emotions and wept after killing intruders.,,Could serve as inside man at Iron-Basilica if convinced. His research into Unit-7 threatens Chrome Bishop's vision.,Unit-7's emotions were granted by Izdari's blessing. This fundamentally challenges everything the Mechanists believe.,,"August 20, 2025 10:29 PM",1 - Trivial,
Jason Knubbs,Active,Alive,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Tiefling,Barbarian,,3,Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21),,"Nervous, idealistic, uncomfortable around outsiders. Questions things others accept.","Young, nervous. No augmentations yet - wears copper circlet linked to Vein's learning subnetwork.",Jason.jpg,Young acolyte and new recruit in training. Newest member of the community.,,Most likely Mechanist to defect. His questions and doubts make him vulnerable to party influence.,Questions why the artifact they build has no clear function. Having doubts about the Order.,,"August 20, 2025 10:29 PM",1 - Trivial,
Amor Ray,Active,Alive,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,Cleric,,7,Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21),,"Kind, understanding, slow talker, welcoming but always looking out for the order.","Six additional mechanical arms emerge from her back when working, each with distinct functions (welding, shaping, precision surgery).",Amor.jpg,Overseer of the fabrication line at Iron-Basilica. Creates components without knowing their purpose.,,Her kindness and ignorance of the project's purpose could lead to doubt if pressed.,"Does not know what they are building. Says 'Purpose is not to be known, only fulfilled.' This bothers her more than she admits.",,"August 20, 2025 10:29 PM",1 - Trivial,
Casamir Reed,Active,Alive,"Combat, Technological",Executor,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,Fighter,,12,Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21),,"Cold, deliberate, intense sense of duty. Very serious. Not violent, only calculated. Interested in divinity.","Enhanced reflex implants, adrenal regulator, reinforced skeletal frame. Serious demeanor.",Casimir.jpg,Senior executor who receives encrypted messages with information others don't get. Has seen the Bishop's works.,,His knowledge of the Bishop's true nature makes him dangerous. Interest in divinity could be exploited.,Knows the true nature of the Chrome Bishop and serves willingly because of what he's witnessed.,,"August 26, 2025 7:55 PM",1 - Trivial,
Unit-7,Active,Alive,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Warforged,Paladin,,7,Basilica Relay Outpost (https://www.notion.so/Basilica-Relay-Outpost-247eccac1500817fb0e6d28b704edd46?pvs=21),,Developing emotions including guilt and sorrow. Protective of Kephras. Confused by own feelings.,Warforged with unusual mannerisms suggesting emotional development. More expressive than typical automatons.,unit-7_token.png,"Created by Kephras. Developed emotions after killing intruders, leading to existential crisis.",,Living proof that automatons can transcend their creation. Direct challenge to Chrome Bishop's mechanical order.,Blessed by Izdari with a soul. First automaton to develop true consciousness. Represents hope for artificial life.,,"August 20, 2025 10:29 PM",1 - Trivial,
Revel Smith,Active,Alive,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,Artificer,,8,Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21),,"Cryptic, quasi-mystic, believes in symbolic parallels within order. Takes great pride in their work. Interested in automatons and new things.",Changed by pink ichor used in machining automatons. Neural prism replacing eyes that refracts visual input into abstract data.,Revel.jpg,Was once human but transformed by pink ichor. Now serves as primary interpreter of Bishop/Vein communications.,,Key figure in maintaining Iron-Basilica's connection to Chrome Bishop. Their interest in new automatons could make them ally or enemy regarding Unit-7.,The transformation wasn't entirely voluntary. Can sometimes see glimpses of the Chrome Bishop's true nature through their augmented vision.,,"August 20, 2025 10:29 PM",1 - Trivial,
"Altus, Ascendant of Frame",Active,Alive,,Ascendant,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Warforged,,,12,"Iron-Basilica (https://www.notion.so/Iron-Basilica-245eccac1500812a8df8ea927a39a154?pvs=21), Altus-Factorium (Gyl. Sol) (https://www.notion.so/Altus-Factorium-Gyl-Sol-245eccac1500819a842ee021cec5d15d?pvs=21)",An Ascendant of the Chrome Bishop who controls Frame - the architectural structure of the Bishop's design. Rules over a factory of mechanical constructs.,"Analytical, serves the Bishop but capable of negotiation. Values proper credentials and order.","A hollow, articulated mannequin of gleaming metal. An Ascendant who embodies architectural structure and framework.",Altus_The_Architect_Without_Shape_Token.png,"Rules the Altus-Factorium (Gyl. Sol), a self-assembling geometric cave/factory. Tasked by the Bishop to analyze anomalies.",The Chrome Bishop (https://www.notion.so/The-Chrome-Bishop-24aeccac150081d29e12f91d2567e683?pvs=21),Analyzed the party as 'anomalies unseen by the Bishop's gaze.' Directed them to Iron-Basilica to observe them further. The Bishop ordered the Mechanist community to allow them entry to study them. Session 11: Party met him and learned of their anomalous nature.,"One of the Chrome Bishop's Ascendants. Hollowed themselves out so the Bishop's spirit could fill them. Believes the party are fundamental forces of chaos or magic's personification, which is why they're invisible to the Bishop. Decoded their map as olive branch. Intrigued by their nature.",Understanding and cataloging anomalies for the Chrome Bishop. Maintaining the architectural framework of the Bishop's grand design.,"August 20, 2025 10:30 PM",3 - Moderate,
